Survived,Title,Pclass,Fare,Sex,Age,SibSp,Parch,Family_Number_Sum,GroupID
0,1,3,7.25,0,22.0,1,0,1,77
1,3,1,71.2833,1,38.0,1,0,1,143
1,2,3,7.925,1,26.0,0,0,0,268
1,3,1,53.1,1,35.0,1,0,1,208
0,1,3,8.05,0,35.0,0,0,0,11
0,1,3,8.4583,0,28.0,0,0,0,434
0,1,1,51.8625,0,54.0,0,0,0,401
0,4,3,21.075,0,2.0,3,1,4,492
1,3,3,11.1333,1,27.0,0,2,2,314
1,3,2,30.0708,1,14.0,1,0,1,452
1,2,3,16.7,1,4.0,1,1,2,568
1,2,1,26.55,1,58.0,0,0,0,68
0,1,3,8.05,0,20.0,0,0,0,569
0,1,3,31.275,0,39.0,1,5,6,17
0,2,3,7.8542,1,14.0,0,0,0,659
1,3,2,16.0,1,55.0,0,0,0,273
0,4,3,29.125,0,2.0,4,1,5,535
1,1,2,13.0,0,28.0,0,0,0,681
0,3,3,18.0,1,31.0,1,0,1,657
1,3,3,7.225,1,28.0,0,0,0,398
0,1,2,26.0,0,35.0,0,0,0,209
1,1,2,13.0,0,34.0,0,0,0,54
1,2,3,8.0292,1,15.0,0,0,0,408
1,1,1,35.5,0,28.0,0,0,0,599
0,2,3,21.075,1,8.0,3,1,4,492
1,3,3,31.3875,1,38.0,1,5,6,27
0,1,3,7.225,0,28.0,0,0,0,185
0,1,1,263.0,0,19.0,3,2,5,198
1,2,3,7.8792,1,28.0,0,0,0,476
0,1,3,7.8958,0,28.0,0,0,0,636
0,7,1,27.7208,0,40.0,0,0,0,650
1,3,1,146.5208,1,28.0,1,0,1,607
1,2,3,7.75,1,28.0,0,0,0,225
0,1,2,10.5,0,66.0,0,0,0,672
0,1,1,82.1708,0,28.0,1,0,1,419
0,1,1,52.0,0,42.0,1,0,1,283
1,1,3,7.2292,0,28.0,0,0,0,391
0,1,3,8.05,0,21.0,0,0,0,98
0,2,3,18.0,1,18.0,2,0,2,658
1,2,3,11.2417,1,14.0,1,0,1,461
0,3,3,9.475,1,40.0,1,0,1,5
0,3,2,21.0,1,27.0,1,0,1,649
0,1,3,7.8958,0,28.0,0,0,0,341
1,2,2,41.5792,1,3.0,1,2,3,350
1,2,3,7.8792,1,19.0,0,0,0,161
0,1,3,8.05,0,28.0,0,0,0,547
